Age,Prior Crimes,Sex (Male=1),Felony Charge (1=Yes),race_binary,actual_outcome,predicted_prob
-0.80641687,-0.26194566,0.01746469,-0.0628269,1,1,0.24848276
0.13293123,-0.89868236,0.08863294,-0.06040786,1,0,0.32508022
-0.7401919,0.23327138,0.030084915,0.07918929,0,1,0.40356275
-0.6021854,0.24180676,0.12953132,-0.06825236,1,1,0.42749083
0.86017096,0.5335429,0.064902194,-0.020430181,1,1,0.8092572
1.7873092,-0.13436487,0.11366352,-0.0069346423,0,0,0.854044
0.7795325,-0.6977168,-0.40561703,0.07607263,0,1,0.4401076
0.035576917,-0.31354246,0.1203358,0.057601415,1,0,0.47676057
0.5002475,-0.9627575,0.18505132,-0.019278506,1,0,0.42806908
-0.19402589,-1.0123538,0.039399985,0.06018788,0,0,0.24977972
0.093062006,0.5712454,0.100389965,0.14540732,1,0,0.7144525
0.8940623,-0.34872353,0.17464224,-0.0050771264,1,1,0.6730269
0.35588565,-0.17738368,-0.011709248,0.19974993,0,1,0.5923155
-0.13450429,-0.7975643,-0.12927197,0.29555118,0,0,0.31890994
-1.3088064,-0.26097378,0.021296125,-0.071220815,1,1,0.16621383
-0.7709346,-0.3102443,0.05355389,-0.023062766,0,0,0.2604397
0.06455987,-0.2493988,0.102120936,0.07896445,1,0,0.50081253
0.06833248,0.37411773,0.10626795,0.046427548,0,1,0.64614785
-0.45558676,-0.23713762,0.065686375,0.053533114,0,0,0.3620446
0.31558713,-0.7724149,-0.22495064,-0.17937215,0,0,0.29856366
-0.10234093,-0.1655624,-0.0062676007,0.07875295,0,1,0.4530353
0.38750055,-0.24312195,0.04901813,0.026651803,0,1,0.5565205
-0.08574485,-0.8608905,0.15611693,-0.2718888,0,0,0.25818878
0.19982484,-1.0481879,-0.6448644,-0.10644168,1,0,0.16900933
0.025246527,-0.5252684,0.0778599,0.07508538,0,0,0.41579172
-0.10322378,3.1684241,0.06205445,0.1261394,1,0,0.96304494
0.41704407,1.040846,0.057735205,-0.2077973,1,0,0.7883205
-1.1000197,0.6522686,0.035931233,-0.0982432,1,0,0.37682196
-0.13382354,-0.81475264,-0.3683478,0.18319596,1,1,0.24476616
-0.41713735,-0.62260544,0.07520702,-0.21113184,1,0,0.2370967
0.30883858,3.4241161,0.07824926,0.24954706,1,1,0.9831722
-0.41713735,-0.62260544,0.07520702,-0.21113184,1,0,0.2370967
-0.047362763,0.08619906,0.095702246,-0.25205827,1,1,0.4723991
-0.53589666,0.12507644,0.04767489,-0.2332586,1,0,0.3567725
-0.44624606,-0.12228014,0.10612098,-0.16642796,0,0,0.34936553
-0.23217325,-0.7480016,-0.1865404,0.10951207,0,1,0.25918677
0.49731013,-0.21915065,0.15876418,0.070732504,1,1,0.62589824
-0.4890521,0.27243373,0.11291957,0.05787286,1,0,0.49029574
-0.06466597,-0.99860734,-0.42835313,0.1591487,1,0,0.20990895
-0.71963346,0.13126315,0.046962485,-0.18931815,1,1,0.3265737
-0.6134803,-0.5250336,0.059677944,-0.16578765,0,1,0.22485057
0.050196134,-0.095902495,0.014578983,0.10642523,1,0,0.5205638
-0.68167114,2.4380853,0.06715724,-0.099475786,1,0,0.84955287
1.7873092,-0.13436487,0.11366352,-0.0069346423,1,1,0.854044
-0.48254856,-0.25233373,-0.37714887,-0.17674367,1,0,0.21724874
-0.0012000198,-0.28699216,0.067836516,0.06874519,1,1,0.46391112
-1.6501687,-0.5035926,0.08452643,-0.00822458,0,0,0.11200167
0.7795325,-0.6977168,-0.40561703,0.07607263,1,1,0.4401076
0.4352089,-1.0092001,0.053982,0.015263316,1,1,0.37807143
-0.09820129,-0.026005823,0.015762584,0.14700505,1,1,0.5113891
0.38988423,-0.7544016,-0.4694663,0.14292692,1,0,0.33535734
1.3112837,-1.1106265,0.104420595,-0.06982547,1,1,0.5602697
-0.51833045,0.26785448,0.0929865,-0.03266948,0,1,0.4543388
0.6962107,-0.8385831,0.11057785,-0.012622253,0,0,0.49064773
-0.84032506,-0.016600527,0.046018835,-0.2833246,1,0,0.2521405
0.6142495,0.6400166,-0.40054563,-0.021920985,1,0,0.6982131
0.5509627,1.5791636,0.02866749,0.14568374,1,1,0.9098235
-0.24162245,0.7100825,0.047633264,0.10119004,1,0,0.6511929
-0.55932087,0.0028126093,-0.068882175,-0.15027943,1,0,0.31676766
-0.6627901,0.6120453,0.03043644,0.0092548365,0,0,0.4989876
0.19670732,-1.0199882,0.10673828,0.036177427,0,0,0.33774465
-0.09593769,0.18520777,0.112232625,0.06942364,0,1,0.5690387
1.009619,-0.7063456,0.098187394,0.010238512,0,1,0.6031727
1.0889417,-0.6888656,0.12763251,-0.010019092,1,1,0.62824446
-0.7710398,-0.45827258,-0.22205526,-0.16315155,0,1,0.16693383
-0.83232594,-0.7184032,0.052543275,-0.05659034,1,0,0.17540826
0.57438964,0.08884395,0.07884678,-0.17973109,1,1,0.63861376
-1.1630567,0.7797952,0.070733756,0.069263436,1,0,0.4412079
0.1397793,1.3454995,-0.045905273,0.0622235,1,1,0.8188537
1.7873092,-0.13436487,0.11366352,-0.0069346423,1,1,0.854044
1.3112837,-1.1106265,0.104420595,-0.06982547,1,1,0.5602697
-0.13763916,0.2406077,0.12384075,-0.12894586,1,1,0.5261928
-1.4730033,1.8225874,0.13308585,-0.007446177,1,0,0.6182738
0.093062006,0.5712454,0.100389965,0.14540732,0,1,0.7144525
-0.040999603,1.6905459,-0.0010406009,0.120351955,1,0,0.8551851
0.19670732,-1.0199882,0.10673828,0.036177427,0,0,0.33774465
-0.5554356,-0.26698625,0.03379212,0.061183386,0,0,0.3272954
-0.13583182,-0.6302962,0.08707829,0.059361342,1,0,0.351447
-0.5208199,0.441838,0.0943873,0.10837757,1,0,0.53265023
0.047038183,-0.833158,-0.1284292,0.2352857,1,0,0.33799103
0.13293123,-0.89868236,0.08863294,-0.06040786,1,0,0.32508022
-0.09892617,-0.21272422,-0.014316908,0.09682603,1,0,0.44469282
-0.4223774,0.842587,0.12869425,-0.040711712,0,0,0.62602353
0.5002475,-0.9627575,0.18505132,-0.019278506,0,0,0.42806908
0.5069374,0.471051,0.038799718,0.11344204,1,1,0.7571714
0.19982484,-1.0481879,-0.6448644,-0.10644168,0,0,0.16900933
-0.7587536,-0.3996895,0.012380939,0.06492217,0,1,0.25461736
0.22474736,-1.1035895,-0.69523525,-0.40139523,1,0,0.12255363
0.1562961,1.1790562,-0.18681887,0.2873161,1,0,0.8088963
0.38016486,-0.43917578,-0.7654405,0.01093027,0,0,0.30863315
-0.011946609,0.6272936,0.06415936,-0.10486034,1,1,0.6414469
-0.57252365,-0.77221614,0.14976235,-0.03864045,0,0,0.22677469
0.6930009,-0.25117272,0.13639198,0.06499966,1,0,0.65706086
0.23336233,0.42945027,0.09120282,0.1441063,1,1,0.7120018
0.20272551,-0.60914284,-0.034875818,0.13841479,1,0,0.42656618
0.35331488,0.58124524,0.043521762,-0.45333964,1,1,0.6298901
0.63713586,1.0578693,0.06497591,0.057486817,1,1,0.8611019
1.009619,-0.7063456,0.098187394,0.010238512,1,1,0.6031727
0.007230181,0.30011442,-0.44381806,0.07352117,1,0,0.4860165
-1.0103807,1.5958389,0.10841316,0.048116658,1,1,0.678959
0.20216304,1.6498358,0.018526115,0.05471122,0,1,0.8734971
1.5572757,1.1378211,0.11297381,0.09228629,0,1,0.9482091
-0.58477867,0.49415073,0.07054018,0.03881194,1,1,0.5064318
0.36847934,0.58970934,-0.41399434,-0.16485356,0,1,0.5954024
0.7375384,0.6161819,0.0855161,0.14043096,1,1,0.83014727
-0.45558676,-0.23713762,0.065686375,0.053533114,0,0,0.3620446
-0.11116878,0.33598796,0.101265885,0.11904322,0,0,0.611146
-0.5279053,0.24221185,-0.016382406,0.14412962,1,0,0.46233585
0.22474736,-1.1035895,-0.69523525,-0.40139523,0,0,0.12255363
-0.026203178,1.081764,0.027759012,-0.033027418,1,0,0.7421735
0.14926195,-0.38211676,0.11628136,-0.036242984,1,0,0.46361125
0.5466731,0.30136907,0.07393397,-0.26505184,1,1,0.660142
0.029939314,0.15959533,-0.15059924,0.15730877,0,1,0.5506377
0.040780067,-0.24134362,0.02728478,-0.09165267,0,1,0.43587315
-0.13450429,-0.7975643,-0.12927197,0.29555118,0,0,0.31890994
-0.20156385,2.9552324,-0.044145547,0.044757567,1,1,0.9405475
-0.06107393,-0.77265155,0.13902073,-0.06442025,0,1,0.32035926
-0.53589666,0.12507644,0.04767489,-0.2332586,1,0,0.3567725
-0.4531806,0.29003242,0.08845694,-0.16989395,0,0,0.4408824
-0.6048648,-0.41779557,0.078343645,0.035789352,0,0,0.28873742
0.4103549,-0.7961327,0.17045256,0.117435694,1,0,0.4772942
0.06833248,0.37411773,0.10626795,0.046427548,1,0,0.64614785
0.29588315,1.8987015,0.1516161,0.017609142,1,1,0.9145744
0.85976523,-0.8135694,0.19789703,0.051352303,0,1,0.575041
-0.78362644,-0.11735399,-0.19855629,0.038671672,0,1,0.25848427
0.5509627,1.5791636,0.02866749,0.14568374,1,1,0.9098235
0.08512813,0.79338163,0.067569,-0.20981571,1,1,0.6777099
-0.22680709,-0.4700415,0.087842986,-0.12824081,0,1,0.32514152
-0.8601434,-0.09179833,0.023303932,0.06004437,0,1,0.29700723
0.7435797,-0.29097873,0.17862977,0.0137064,0,0,0.6574476
-0.09390452,3.4164796,0.008326881,0.14185469,1,1,0.9701064
-0.47610092,1.0320085,-0.0722017,0.23492734,0,1,0.673847
0.38750055,-0.24312195,0.04901813,0.026651803,0,1,0.5565205
0.047038183,-0.833158,-0.1284292,0.2352857,1,0,0.33799103
1.7873092,-0.13436487,0.11366352,-0.0069346423,1,1,0.854044
-0.94495857,-0.36794195,0.088949315,0.05992606,0,1,0.23920886
-0.06494203,-0.5670957,-0.01898694,0.030502085,0,0,0.3512569
-0.017137634,-1.0696884,-0.63769823,-0.22397155,0,0,0.1254842
-0.29946038,1.5930169,0.022345608,0.12190449,1,0,0.8091985
-0.8248983,-0.46898052,0.057270255,0.09108419,0,0,0.24259205
0.319092,-0.69131565,-0.31528315,-0.024109282,1,1,0.33079046
-0.014361701,0.5800938,0.058219407,0.05396457,1,1,0.66483593
-0.6357596,-0.40789607,0.115680754,-0.08980093,0,0,0.26682886
-0.15268259,-0.6367385,-0.2671769,-0.28643507,0,0,0.20816396
-0.15154943,-0.5060452,0.033911392,0.13577114,1,1,0.3820377
